precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
360000.0,0.0,8.7,1.0,"[360000.0,0.0,8.7,1.0]","[1.9623065452672035,0.0,3.285178492014089,4.678687769727618]",0
123663.0,3.0,9.5,1.0,"[123663.0,3.0,9.5,1.0]","[0.6740686508538283,1.6032363542367636,3.5872638705900974,4.678687769727618]",1
51917.0,0.0,9.3,1.0,"[51917.0,0.0,9.3,1.0]","[0.2829918580851039,0.0,3.511742525946096,4.678687769727618]",0
199195.0,0.0,9.4,1.0,"[199195.0,0.0,9.4,1.0]","[1.085782367456946,0.0,3.5495031982680967,4.678687769727618]",0
79768.0,0.0,9.0,1.0,"[79768.0,0.0,9.0,1.0]","[0.43480352361909524,0.0,3.3984605089800923,4.678687769727618]",0
217429.0,0.0,0.0,1.0,"[217429.0,0.0,0.0,1.0]","[1.1851731939747299,0.0,0.0,4.678687769727618]",0
71530.0,0.0,8.7,1.0,"[71530.0,0.0,8.7,1.0]","[0.38989940884156404,0.0,3.285178492014089,4.678687769727618]",0
240675.0,4.0,8.6,1.0,"[240675.0,4.0,8.6,1.0]","[1.311883688283845,2.1376484723156848,3.247417819692088,4.678687769727618]",1
83644.0,0.0,8.2,1.0,"[83644.0,0.0,8.2,1.0]","[0.45593102408980546,0.0,3.096375130404084,4.678687769727618]",0
193270.0,0.0,9.0,1.0,"[193270.0,0.0,9.0,1.0]","[1.0534860722327568,0.0,3.3984605089800923,4.678687769727618]",0
89280.0,0.0,8.6,1.0,"[89280.0,0.0,8.6,1.0]","[0.48665202322626644,0.0,3.247417819692088,4.678687769727618]",0
111658.0,0.0,7.6,1.0,"[111658.0,0.0,7.6,1.0]","[0.6086311784206817,0.0,2.8698110964720778,4.678687769727618]",0
1663762.0,0.0,8.0,1.0,"[1663762.0,0.0,8.0,1.0]","[9.068919617685703,0.0,3.020853785760082,4.678687769727618]",1
330480.0,0.0,8.4,1.0,"[330480.0,0.0,8.4,1.0]","[1.8013974085552928,0.0,3.1718964750480865,4.678687769727618]",0
162000.0,0.0,10.0,1.0,"[162000.0,0.0,10.0,1.0]","[0.8830379453702416,0.0,3.7760672322001025,4.678687769727618]",0
310096.0,0.0,9.5,1.0,"[310096.0,0.0,9.5,1.0]","[1.690287251281052,0.0,3.5872638705900974,4.678687769727618]",0
64446.0,0.0,9.3,1.0,"[64446.0,0.0,9.3,1.0]","[0.3512855767119172,0.0,3.511742525946096,4.678687769727618]",0
944363.0,0.0,8.2,1.0,"[944363.0,0.0,8.2,1.0]","[5.147582488911589,0.0,3.096375130404084,4.678687769727618]",0
63094.0,0.0,8.8,1.0,"[63094.0,0.0,8.8,1.0]","[0.3439160254641359,0.0,3.322939164336091,4.678687769727618]",0
322363.0,0.0,8.6,1.0,"[322363.0,0.0,8.6,1.0]","[1.757152846811032,0.0,3.247417819692088,4.678687769727618]",0
120794.0,0.0,9.6,1.0,"[120794.0,0.0,9.6,1.0]","[0.6584301578583516,0.0,3.625024542912098,4.678687769727618]",0
74000.0,0.0,8.6,1.0,"[74000.0,0.0,8.6,1.0]","[0.4033630120827029,0.0,3.247417819692088,4.678687769727618]",0
180000.0,0.0,9.0,1.0,"[180000.0,0.0,9.0,1.0]","[0.9811532726336017,0.0,3.3984605089800923,4.678687769727618]",0
28644.0,0.0,8.6,1.0,"[28644.0,0.0,8.6,1.0]","[0.15613419078509383,0.0,3.247417819692088,4.678687769727618]",0
